page_number,is_bold,is_italic,is_underline,is_all_caps,word_count,norm_font_size,font,font_size,x0,y0,x1,y1,space_above,space_below,space_left,space_right,text
1,1,0,0,0,4,30,QTWQDT+URWPalladioL-Bold,7.6,142.24,185.06,525.11,192.64,185.06,649.25,142.24,70.17,1 1 2 2
1,1,0,0,0,5,10,QTWQDT+URWPalladioL-Bold,10.0,35.72,186.93,528.1,196.89,186.93,645.0,35.72,67.18,"KashifNaseerQureshi ,LuqmanShahzad ,AbdelzahirAbdelmaboud ,TaiseerAbdallaElfadilEisa ,"
1,1,0,0,0,4,30,QTWQDT+URWPalladioL-Bold,7.6,105.45,197.62,400.95,205.19,197.62,636.7,105.45,194.32,"3 1, 4,5 6"
1,1,0,0,0,4,10,QTWQDT+URWPalladioL-Bold,10.0,35.72,199.48,394.68,209.44,199.48,632.45,35.72,200.6,"BandarAlamri ,IbrahimTariqJaved *,ArafatAl-Dhaqm andNoelCrespi"
1,0,0,0,0,3,16,RUSOKQ+URWPalladioL-Roma,9.0,166.39,480.88,559.28,489.85,480.88,352.04,166.39,36.0,"task. Toaddressthesechallenges,thispaperpresentsablockchain-basedef cient,secure,and"
1,0,0,0,0,3,16,RUSOKQ+URWPalladioL-Roma,9.0,166.39,558.71,559.28,567.68,558.71,274.21,166.39,36.0,blockchain. Theproposedschemeful llstherequirementtoanalyzedifferentalgorithmsand
1,0,0,0,0,5,34,RUSOKQ+URWPalladioL-Roma,7.0,35.72,719.42,151.93,726.39,719.42,115.5,35.72,443.34,distributed under the terms and
8,1,0,0,1,1,23,"ABCDEE+Calibri,Bold",8.3,213.45,129.48,227.31,137.74,129.48,704.15,213.45,367.96,SDK
8,1,0,0,0,4,24,"ABCDEE+Calibri,Bold",8.2,120.84,185.39,483.21,203.68,185.39,638.21,120.84,112.06,Endorsing Endorsing Endorsing OrderingServicePeersPeersPeers
9,0,1,0,1,1,3,"ABCDEE+Palatino Linotype,Italic",12.0,398.57,429.26,415.92,441.29,429.26,400.6,398.57,179.36,RU
9,0,0,0,0,4,10,RUSOKQ+URWPalladioL-Roma,10.0,263.35,432.51,418.99,442.68,432.51,399.21,263.35,176.29,localopinionofV toRU is :=
9,0,0,0,0,5,10,ISGEKO+URWPalladioL-Ital,10.0,421.49,432.51,545.99,442.68,432.51,399.21,421.49,49.29,"b ,d ,u ,k whereb"
9,0,0,0,0,14,30,ISGEKO+URWPalladioL-Ital,7.6,341.48,436.32,558.78,443.89,436.32,398.0,341.48,36.5,i j i j i j i j i j i j i j
9,0,1,0,0,14,32,"ABCDEE+Palatino Linotype,Italic",7.2,314.4,448.05,552.37,455.25,448.05,386.64,314.4,42.9,i j i j i j i j i j i j i j
9,0,0,0,0,6,30,ISGEKO+URWPalladioL-Ital,7.6,243.06,448.87,503.37,456.44,448.87,385.45,243.06,91.91,i j i j i j
9,0,1,0,0,6,32,"ABCDEE+Palatino Linotype,Italic",7.2,177.07,463.46,501.18,470.66,463.46,371.23,177.07,94.1,i j i j i j
9,0,0,0,0,4,10,ISGEKO+URWPalladioL-Ital,10.0,166.39,470.17,561.02,480.34,470.17,361.55,166.39,34.26,"b ,d ,u ,inadditiontotherelationshipsbetweenthem,areparticularlyimportant."
9,0,0,0,0,6,30,ISGEKO+URWPalladioL-Ital,7.6,171.04,473.98,231.0,481.55,473.98,360.34,171.04,364.27,i j i j i j
9,0,0,0,0,7,10,RUSOKQ+URWPalladioL-Roma,10.0,166.39,482.72,395.18,492.89,482.72,349.0,166.39,200.09,"Hence,b ,d ,u {0,1},b +d +q =1."
9,0,0,0,0,12,30,ISGEKO+URWPalladioL-Ital,7.6,204.04,486.53,376.19,494.1,486.53,347.79,204.04,219.08,i j i j i j i j i j i j
9,0,1,0,0,4,32,"ABCDEE+Palatino Linotype,Italic",7.2,144.89,494.2,180.73,501.4,494.2,340.49,144.89,414.54,i j i j
9,0,1,0,0,12,32,"ABCDEE+Palatino Linotype,Italic",7.2,144.39,509.64,323.53,516.84,509.64,325.05,144.39,271.74,i j i j i j i j i j i j
9,0,0,0,0,4,30,ISGEKO+URWPalladioL-Ital,7.6,340.84,510.82,402.95,518.39,510.82,323.5,340.84,192.32,i j i j
9,0,0,0,0,5,30,ISGEKO+URWPalladioL-Ital,7.6,322.73,523.66,409.82,532.32,523.66,309.57,322.73,185.45,i j i j +
