page_number,is_bold,is_italic,is_underline,is_all_caps,word_count,norm_font_size,font,font_size,x0,y0,x1,y1,space_above,space_below,space_left,space_right,text
1,0,0,0,0,5,1,BNOGPJ+TimesNewRomanPSMT,22.3,77.88,81.03,530.78,154.76,81.03,637.24,77.88,81.22,Blockchain Based Secured Identity AuthenticationandExpeditiousRevocationFrameworkforVehicularNetworks
1,0,0,0,0,5,8,BNOGPJ+TimesNewRomanPSMT,6.5,184.04,181.16,475.81,187.64,181.16,604.36,184.04,136.19,1 1 2 1 1
1,1,0,0,0,6,5,BNOHBN+TimesNewRomanPS-BoldMT,8.4,77.32,237.1,295.88,255.53,237.1,536.47,77.32,316.12,Authentication and revocation of users inVehicularAdhocNetworks(VANETS)aretwovitalsecurity
1,0,0,0,0,8,4,BNOGPJ+TimesNewRomanPSMT,9.3,314.24,246.93,532.61,256.2,246.93,535.8,314.24,79.39,made its appearance in 2008 along with the
1,0,0,0,0,5,4,BNOGPJ+TimesNewRomanPSMT,9.3,314.24,257.69,532.62,266.96,257.69,525.04,314.24,79.38,"cryptocurrency-Bitcoin [3], effectively securing and"
1,0,0,0,0,8,4,BNOGPJ+TimesNewRomanPSMT,9.3,314.24,268.41,532.92,277.69,268.41,514.31,314.24,79.08,"decentralizing the way data is managed and stored,"
1,1,0,0,0,7,5,BNOHBN+TimesNewRomanPS-BoldMT,8.4,77.32,276.12,295.78,284.5,276.12,507.5,77.32,316.22,issues lackin mitigating the reliance onthe centralized
1,0,0,0,0,7,4,BNOGPJ+TimesNewRomanPSMT,9.3,314.24,300.49,532.62,309.76,300.49,482.24,314.24,79.38,blockchain architecture uses the concept of a
1,1,0,0,0,6,5,BNOHBN+TimesNewRomanPS-BoldMT,8.4,77.32,305.06,295.81,313.44,305.06,478.56,77.32,316.19,based authentication and revocation framework for
1,1,0,0,0,9,5,BNOHBN+TimesNewRomanPS-BoldMT,8.4,77.32,343.61,295.77,361.58,343.61,430.42,77.32,316.23,"updates the status of revocated vehicles in the sharedblockchainledger.Intheproposedframework,vehicles"
1,1,0,0,0,9,5,BNOHBN+TimesNewRomanPS-BoldMT,8.4,77.33,372.53,295.87,380.91,372.53,411.09,77.33,316.13,which are stored along with their certificate in the
1,1,0,0,0,6,5,BNOHBN+TimesNewRomanPS-BoldMT,8.4,77.33,382.14,295.72,390.52,382.14,401.48,77.33,316.28,immutable authentication blockchain and the pointer
1,1,0,0,0,4,5,BNOHBN+TimesNewRomanPS-BoldMT,8.4,79.68,443.17,295.74,451.55,443.17,340.45,79.68,316.26,"Keywords Blockchain, Authentication, Revocation,"
1,0,0,0,0,7,4,BNOGPJ+TimesNewRomanPSMT,9.3,314.24,449.41,532.92,458.68,449.41,333.32,314.24,79.08,majorly on the security aspect have predominantly
1,0,0,0,1,1,7,BNOGPJ+TimesNewRomanPSMT,7.5,166.39,471.34,220.01,478.83,471.34,313.17,166.39,391.99,NTRODUCTION
1,0,1,0,1,1,4,BNOHAL+TimesNewRomanPS-ItalicMT,9.3,431.57,500.34,443.38,509.61,500.34,282.39,431.57,168.62,CA
1,0,0,0,0,3,6,IXXHAU+HelveticaLTStd-Roman-Identity-H,8.0,51.0,742.26,312.67,758.26,742.26,33.74,51.0,299.33,2324-9013/18/31.00 2018IEEE 674DOI10.1109/TrustCom/BigDataSE.2018.00099
2,0,0,0,0,9,4,BNOGPJ+TimesNewRomanPSMT,9.3,77.92,72.19,533.04,156.47,72.19,635.53,77.92,78.96,"privacyinVANETsandproposedahybridmethod,which vehicles. The vehicles revocated should be easy tostrengthenstheframeworkusingpseudonymswithself-identifywithoutcirculatinganentireCertificatecertification,thus,eliminatingtheneedformanagingRevocationList(CRL)asitcauseslotofoverhead.themwithoutcompromisingontherobustnessoftheThenovelblockchain-basedframeworkproposedinsystem.Toobtainhighaccuracyandprivacywithrespectthispaperensuresprivacyandsecurityofvehiclesinthetothevehicle'slocation,Memonetal.[11]developedadecentralizednetwork.Here,aprivateblockchainisusedmethodologybasedondynamicpseudonymgenerationwhichgivesselectiveaccesstoledger,whereRevocationformix-zonesenvironmentandverifiedtheresultsusingAuthority("
2,0,1,0,1,1,4,BNOHAL+TimesNewRomanPS-ItalicMT,9.3,357.88,147.18,369.24,156.45,147.18,635.55,357.88,242.76,RA
2,0,1,0,1,1,4,BNOHAL+TimesNewRomanPS-ItalicMT,9.3,394.3,147.18,406.11,156.45,147.18,635.55,394.3,205.89,CA
2,0,1,0,1,1,4,BNOHAL+TimesNewRomanPS-ItalicMT,9.3,372.19,189.98,384.0,199.26,189.98,592.74,372.19,228.0,CA
2,0,0,0,1,2,7,BNOGPJ+TimesNewRomanPSMT,7.5,388.82,284.57,474.11,292.05,284.57,499.95,388.82,137.89,ROPOSED RAMEWORK
2,0,0,0,0,17,4,BNOGPJ+TimesNewRomanPSMT,9.3,77.92,286.33,533.08,349.65,286.33,442.35,77.92,78.92,"to be the future of ITS. After the introduction ofautonomous/self-drivingvehiclesontheroadforwhich This section presents functioning of the proposedefficientandtimelycommunicationamongstthenodesisframework,whichisuniqueduetotheintroductionofaofutmostimportance,Rowanetal.[15]exploredtheuseprivateblockchaininauthenticationandrevocation.Thisofsensingandsignallingdevicesusingblockchainpublicblockchainmainlycontributesintheoperationofthekeyinfrastructureandaninter-vehiclesessionkeyframeworkbyreducingdependencyonthe"
2,0,1,0,1,1,4,BNOHAL+TimesNewRomanPS-ItalicMT,9.3,476.22,340.38,488.03,349.65,340.38,442.35,476.22,123.97,CA
2,0,0,0,0,17,4,BNOGPJ+TimesNewRomanPSMT,9.3,77.92,361.32,533.07,381.32,361.32,410.68,77.92,78.93,"proposed in this paper is claimed to be secure and The notations used inthe proposed framework aretrustable,thusprovidingreduced"
2,0,1,0,1,1,4,BNOHAL+TimesNewRomanPS-ItalicMT,9.3,229.12,372.05,240.94,381.32,372.05,410.68,229.12,371.06,CA
