page_number,is_bold,is_italic,is_underline,is_all_caps,word_count,norm_font_size,font,font_size,x0,y0,x1,y1,space_above,space_below,space_left,space_right,text
1,1,0,0,0,8,1,/IJQDDR+URWPalladioL-Bold,17.93,35.3,676.2,547.08,712.96,676.2,128.93,35.3,48.19,Blockchain-Based Authentication in Internet of Vehicles: A Survey
1,1,0,0,0,16,2,/IJQDDR+URWPalladioL-Bold,9.96,36.0,653.57,1304.86,667.15,653.57,174.74,36.0,-709.58,"and Do-Hyeun Kim  *Sohail Abbas 1 1, Afaf Ahmed 2 3, Shabir Ahmad 4 5,/gid00030/gid00035/gid00032/gid00030/gid00038/gid00001/gid00033/gid00042/gid00045/gid00001 /gid00048/gid00043/gid00031/gid00028/gid00047/gid00032/gid00046"
1,0,0,0,0,13,10,/NOJAVM+URWPalladioL-Roma,5.98,167.26,628.77,541.86,636.74,628.77,205.15,167.26,53.42,"1 Department of Computer Science, College of Computing and Informatics, University of Sharjah,"
1,0,0,0,0,9,6,/NOJAVM+URWPalladioL-Roma,7.97,180.81,615.12,559.39,623.09,615.12,218.8,180.81,35.88,"Sharjah 27272, United Arab Emirates; sabbas@sharjah.ac.ae (S.A.); mtalib@sharjah.ac.ae (M.A.T.)"
1,0,0,0,0,36,10,/NOJAVM+URWPalladioL-Roma,5.98,167.26,585.73,569.76,615.22,585.73,226.67,167.26,25.52,"2 College of Engineering, Al Ain University, Al Ain 64141, United Arab Emirates; afaf.ahmed@aau.ac.ae 3 Department of Computer Engineering, Gachon University, Seongnam-si 13120, Korea; faheem@gachon.ac.kr 4 Department of IT Convergence Engineering, Gachon University, Seongnam-si 13120, Korea;"
1,0,0,0,0,11,10,/NOJAVM+URWPalladioL-Roma,5.98,167.26,564.21,486.07,572.18,564.21,269.71,167.26,109.21,"5 Department of Computer Engineering, Jeju National University, Jeju 63243, Korea"
1,1,0,0,0,3,6,/IJQDDR+URWPalladioL-Bold,7.97,166.56,550.56,306.03,558.53,550.56,283.36,166.56,289.24,* Correspondence: kimdh@jejunu.ac.kr
1,1,0,0,0,14,4,/IJQDDR+URWPalladioL-Bold,8.97,166.92,523.84,565.92,532.81,523.84,309.08,166.92,29.36,Abstract: Internet of Vehicles (IoV) has emerged as an advancement over the traditional Vehicular
1,0,0,0,0,144,4,/NOJAVM+URWPalladioL-Roma,8.97,166.91,394.12,633.52,519.83,394.12,322.06,166.91,-38.24,"Ad-hoc Networks (VANETs) towards achieving a more efﬁcient intelligent transportation system that is capable of providing various intelligent services and supporting different applications for the drivers and passengers on roads. In order for the IoV and VANETs environments to be able to offer such beneﬁcial road services, huge amounts of data are generated and exchanged among the different communicated entities in these vehicular networks wirelessly via open channels, which could attract the adversaries and threaten the network with several possible types of security attacks. In this survey, we target the authentication part of the security system while highlighting the efﬁciency of blockchains in the IoV and VANETs environments. First, a detailed background on IoV and blockchain is provided, followed by a wide range of security requirements, challenges, and possible attacks in vehicular networks. Then, a more focused review is provided on the recent blockchain-"
1,1,0,0,0,5,9,/IJQDDR+URWPalladioL-Bold,6.97,36.0,390.28,123.17,397.25,390.28,444.63,36.0,472.1,"Citation: Abbas, S.; Talib, M.A.;"
