page_number,is_bold,is_italic,is_underline,is_all_caps,word_count,norm_font_size,font,font_size,x0,y0,x1,y1,space_above,space_below,space_left,space_right,text
1,0,0,0,0,6,1,/MNTPMD+NimbusRomNo9L-Regu,23.91,48.96,696.81,622.81,720.72,696.81,71.28,48.96,-10.81,An Efﬁcient Anonymous Authentication Scheme for
1,0,0,0,0,4,1,/MNTPMD+NimbusRomNo9L-Regu,23.91,210.0,668.97,461.06,692.88,668.97,99.12,210.0,150.94,Internet of V ehicles
1,0,0,0,0,14,3,/MNTPMD+NimbusRomNo9L-Regu,10.96,138.0,650.48,477.07,661.44,650.48,130.56,138.0,134.93,"Jingwei Liu ∗, Qingqing Li ∗, Rong Sun ∗, Xiaojiang Du †, Mohsen Guizani"
1,0,0,0,0,11,4,/MNTPMD+NimbusRomNo9L-Regu,9.96,176.16,639.0,494.96,648.96,639.0,143.04,176.16,117.04,"State Key Lab of ISN, Xidian University, Xi’an, 710071, Chin a."
1,0,0,0,0,4,4,/MNTPMD+NimbusRomNo9L-Regu,9.96,133.8,626.76,517.36,636.72,626.76,155.28,133.8,94.64,"Email: jwliu@mail.xidian.edu.cn, 15229259171@163.com, rsun@mail.xidian.edu.cn"
1,0,0,0,0,15,4,/MNTPMD+NimbusRomNo9L-Regu,9.96,98.16,614.4,596.29,624.36,614.4,167.64,98.16,15.71,"Department of Computer and Information Sciences, T emple Un iversity, Philadelphia, P A 19122, USA."
1,0,0,0,0,14,4,/MNTPMD+NimbusRomNo9L-Regu,9.96,108.24,589.68,581.46,599.64,589.68,192.36,108.24,30.54,"Department of Electrical and Computer Engineering, Univer sity of ldaho, Mosocow , ldaho, USA."
1,0,0,0,0,9,5,/PRQDCR+NimbusRomNo9L-MediItal,8.97,58.92,544.83,354.27,553.8,544.83,238.2,58.92,257.73,Abstract—Internet of V ehicles (IoV) is an intelligent application
1,0,0,0,0,4,13,/YDIEOA+Calibri,5.32,330.69,538.6,509.74,548.05,538.6,243.95,330.69,102.26,Private  Public  Enterprise Services
1,0,0,0,0,12,5,/QKZMBU+NimbusRomNo9L-Medi,8.97,48.96,534.87,459.2,543.84,534.87,248.16,48.96,152.8,"of IoT in smart transportation, which can make intelligent d eci-  Cloud"
